Session,User,Query,Code,Page_number,Ranking_position,c_i,Sum_c,Jaccard Similarity Coeficient,c_i + Jaccard,Sum_(c_i + Jaccard),m_i,gamma_r_ij,p_i,m_i/p_i,log_2 m_i/p_i,H_parcial,H_Total,D_kg,D_kg_round
,,critério jurisprudência fixar danos morais,TE1,,,0,9,0,0,"9,33452381",0,0,0,NA,,,,,
,,critério jurisprudência fixar danos materiais atraso e cancelamento de voo,SMI2,,,0,9,"0,3636363636","0,3636363636","10,69816017","0,03399055144",0,0,NA,,,,,
,,,SMI5,1,4,1,10,"0,3636363636","1,363636364","10,69816017","0,1274645679","0,82","0,82","0,155444595","-2,685527642","-2,202132666","-17,0433535","0,180433535","0,18"
,,,SMI8,,,0,10,"0,3636363636","0,3636363636","10,69816017","0,03399055144",0,0,NA,,,,,
,,fixação danos materiais atraso e cancelamento de voo,TE1,,,0,10,"0,6363636364","0,6363636364","12,33452381","0,05159207167",0,0,NA,,,,,
,,,SMI6,1,1,1,11,"0,6363636364","1,636363636","12,33452381","0,1326653271",1,1,"0,1326653271","-2,914136732","-2,914136732","-19,95749024","0,2095749024","0,21"
,,,SMI6,1,2,1,12,"0,6363636364","1,636363636","12,33452381","0,1326653271","0,98","0,98","0,1353727828","-2,884990386","-2,827290578","-22,78478081","0,2378478081","0,24"
,,fixação danos materiais atraso e cancelamento de voo -moral,C10,,,0,12,"0,8888888889","0,8888888889","14,2234127","0,06249476885",0,0,NA,,,,,
,,,SMI5,1,2,1,13,"0,8888888889","1,888888889","14,2234127","0,1328013838",1,1,"0,1328013838","-2,912657915","-2,912657915","-25,69743873","0,2669743873","0,27"
,,,PT2,,,0,13,"0,8888888889","0,8888888889","14,2234127","0,06249476885",0,0,NA,,,,,
,,,SMI5,,,0,13,"0,8888888889","0,8888888889","14,2234127","0,06249476885",0,0,NA,,,,,
,,,E3,,,0,13,"0,8888888889","0,8888888889","14,2234127","0,06249476885",0,0,NA,,,,,
2_1,USER_2,detenção direito possessório,C4,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI2,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI5,1,5,1,1,0,1,1,1,"0,69","0,69","1,449275362","0,535331733","0,3693788958","0,3693788958","0,006306211042","0,01"
,,,SMI8,,,0,1,0,0,1,0,0,0,NA,,,,,
,,artigos 1267 e 1268 do código civil,PT1,1,1,1,2,0,1,2,"0,5",1,1,"0,5",-1,-1,"-0,6306211042","0,01630621104","0,02"
,,,SMI8,,,0,2,0,0,2,0,0,0,NA,,,,,
,,Quando ocorre a transferência da propriedade de um bem móvel por meio de negócio jurídico?,TE1,,,0,2,0,0,3,0,0,0,NA,,,,,
,,,SMI6,1,1,1,3,0,1,3,"0,3333333333",1,1,"0,3333333333","-1,584962501","-1,584962501","-2,215583605","0,03215583605","0,03"
,,Quando ocorre a transferência da propriedade de um bem imóvel por meio de negócio jurídico?,TE1,,,0,3,"0,8666666667","0,8666666667","3,866666667","0,224137931",0,0,NA,,,,,
,,,SMI6,,,0,3,"0,8666666667","0,8666666667","3,866666667","0,224137931",0,0,NA,,,,,
,,O que caracteriza a posse precária?,PT1,1,4,1,4,"0,05263157895","1,052631579","4,919298246","0,2139800285","0,82","0,82","0,2609512543","-1,938147758","-1,589281162","-3,804864767","0,04804864767","0,05"
,,,SMI8,,,0,4,"0,05263157895","0,05263157895","4,919298246","0,01069900143",0,0,NA,,,,,
,,O que é turbação e esbulho,PT1,1,5,1,5,"0,2","1,2","6,119298246","0,1961009174","0,69","0,69","0,2842042282","-1,815000077","-1,252350053","-5,05721482","0,0605721482","0,06"
,,,SMI8,,,0,5,"0,2","0,2","6,119298246","0,03268348624",0,0,NA,,,,,
,,,C6,,,0,5,"0,2","0,2","6,119298246","0,03268348624",0,0,NA,,,,,
,,,SMI5,1,4,1,6,"0,2","1,2","6,119298246","0,1961009174","0,77","0,77","0,2546765161","-1,973262161","-1,519411864","-6,576626684","0,07576626684","0,08"
,,,C6,,,0,6,"0,2","0,2","6,119298246","0,03268348624",0,0,NA,,,,,
,,,SMI5,1,7,1,7,"0,2","1,2","6,119298246","0,1961009174","0,46","0,46","0,4263063422","-1,230037576","-0,565817285","-7,142443969","0,08142443969","0,08"
